author,poem name,age,type,question
HART CRANE,Repose of Rivers,Modern,Nature,"Asunder...
How much I would have bartered! the black gorge
And all the singular nestings in the hills
Where beavers learn stitch and tooth.
The pond I entered once and quickly fled"
JOHN DONNE,The Flea,Renaissance,Love,"Wherein could this flea guilty be,
Except in that drop which it sucked from thee?   
Yet thou triumphst, and say'st that thou   
Findst not thy self, nor me the weaker now;
    Tis true; then learn how false, fears be:"
T. S. ELIOT,Portrait of a Lady,Modern,Love,"Then sit for half an hour and drink our bocks.
II
Now that lilacs are in bloom
She has a bowl of lilacs in her room
And twists one in her fingers while she talks."
RICHARD BARNFIELD,Sonnet 17,Renaissance,Love,"    Where Muses (like bees) make their mansion.
His teeth pure pearle in blushing correll set.
    Oh how can such a body sinne-procuring,
    Be slow to love, and quicke to hate, enduring?"
WILLIAM SHAKESPEARE,Song: When daisies pied and violets blue ,Renaissance,Nature,"And Tom bears logs into the hall,
      And milk comes frozen home in pail,
When blood is nipp'd, and ways be foul,
Then nightly sings the staring-owl,
                                                    Tu-who;"
EDMUND SPENSER,"from The Faerie Queene: Book I, Canto I",Renaissance,Mythology & Folklore,"Ne ever would to any by-way bend,
But still did follow one unto the end,
The which at last out of the wood them brought.
So forward on his way (with God to frend)
He passed forth, and new adventure sought;"
JOHN DONNE,Lovers' Infiniteness,Renaissance,Love,"But we will have a way more liberal,
Than changing hearts, to join them; so we shall
         Be one, and one another's all."
IVOR GURNEY,Strange Service,Modern,Mythology & Folklore,"Muddy and strongly flowing, with shy and tiny streamlets
Safe in its bosom.
Now these are memories only, and your skies and rushy sky-pools
Fragile mirrors easily broken by moving airs...
But deep in my heart for ever goes on your daily being,"
D. H. LAWRENCE,Tortoise Gallantry,Modern,Love,"Suddenly, or her skinny limb,
And strange and grimly drags at her
Like a dog,
Only agelessly silent, with a reptile's awful persistency.
Grim, gruesome gallantry, to which he is doomed."
EDMUND SPENSER,Amoretti I: Happy ye leaves when as those lilly hands,Renaissance,Love,"When ye behold that Angels blessed looke,
My soules long lacked foode, my heavens blis.
Leaves, lines, and rymes, seeke her to please alone,
Whom if ye please, I care for other none. "
SIR PHILIP SIDNEY,The Nightingale,Renaissance,Love,"Thine earth now springs, mine fadeth;
Thy thorn without, my thorn my heart invadeth.
Alas, she hath no other cause of anguish
But Tereus love, on her by strong hand wroken,
Wherein she suffering, all her spirits languish;"
D. H. LAWRENCE,Tortoise Gallantry,Modern,Love,"Born to walk alone,
Forerunner,
Now suddenly distracted into this mazy side-track,
This awkward, harrowing pursuit,
This grim necessity from within."
JOHN DONNE,Song: Go and catch a falling star,Renaissance,Love,"Yet do not, I would not go,
    Though at next door we might meet;
Though she were true, when you met her,
And last, till you write your letter,
            Yet she"
HART CRANE,from The Bridge: Southern Cross,Modern,Love,"Whatever callfalls vainly on the wave.
O simian Venus, homeless Eve,
Unwedded, stumbling gardenless to grieve
Windswept guitars on lonely decks forever;
Finally to answer all within one grave!"
MARIANNE MOORE,Black Earth,Modern,Nature,"         Out childhood to the present time, the unity of
         Life and death has been expressed by the circumference
Described by my
Trunk; nevertheless, I
         Perceive feats of strength to be inexplicable after"
RICHARD ALDINGTON,,Modern,Nature,"Over long leagues of lonely sea;
Thou art the dusk and the fragrance;
Thou art the lips of love mournfully smiling;
Thou art the pale peace of one
Satiate with old desires;"
EDMUND SPENSER,from The Shepheardes Calender: October,Renaissance,Mythology & Folklore,"Or it mens follies mote be forst to fayne,
And rolle with rest in rymes of rybaudrye:
Or as it sprong, it wither must agayne:
Tom Piper makes us better melodie.
PIERS"
SARA TEASDALE,Since There Is No Escape,Modern,Love,"In pride, and let me sing with my last breath;
In these few hours of light I lift my head;
Life is my loverI shall leave the dead
If there is any way to baffle death."
WILLIAM BUTLER YEATS,The Cap and Bells,Modern,Love,"To her right hand came the red one,
To her left hand came the blue.
They set up a noise like crickets,
A chattering wise and sweet,
And her hair was a folded flower"
WILLIAM SHAKESPEARE,"Sonnet 57: Being your slave, what should I do but tend",Renaissance,Love,"But like a sad slave, stay and think of nought,
Save, where you are how happy you make those.
So true a fool is love that in your will
Though you do anything, he thinks no ill."
D. H. LAWRENCE,Tortoise Gallantry,Modern,Love,"And the still more awful need to persist, to follow, follow, continue,
Driven, after ons of pristine, fore-god-like singleness and oneness,
At the end of some mysterious, red-hot iron,
Driven away from himself into her tracks,
Forced to crash against her."
RICHARD ALDINGTON,,Modern,Nature,"Thou crownest us with the pallid chaplets,
The slim colorless poppies
Which in thy garden alone
Softly thou gatherest.
And silently;"
SIR THOMAS WYATT,And Wilt thou Leave me Thus?,Renaissance,Love,"Of him that loveth thee?
Helas, thy cruelty!
And wilt thou leave me thus?
Say nay, say nay!"
EDMUND SPENSER,Prothalamion,Renaissance,Mythology & Folklore,"That they appear through lilies' plenteous store,
Like a bride's chamber floor.
Two of those nymphs meanwhile, two garlands bound,
Of freshest flowers which in that mead they found,
The which presenting all in trim array,"
SIR PHILIP SIDNEY,Ring Out Your Bells,Renaissance,Love,"Weep, neighbours, weep; do you not hear it said
That Love is dead?
His death-bed, peacock's folly;
His winding-sheet is shame;
His will, false-seeming holy;"
D. H. LAWRENCE,Last Words to Miriam,Modern,Love,"Mine was the love of a growing flower
For the sunshine.
You had the power to explore me,
Blossom me stalk by stalk;
You woke my spirit, you bore me"
EDMUND SPENSER,Prothalamion,Renaissance,Mythology & Folklore,"Let endless peace your steadfast hearts accord,
And blessed plenty wait upon your board,
And let your bed with pleasures chaste abound,
That fruitful issue may to you afford,
Which may your foes confound,"
WILLIAM SHAKESPEARE,"Sonnet 107: Not mine own fears, nor the prophetic soul",Renaissance,Love,"Since, spite of him, I'll live in this poor rhyme,
While he insults o'er dull and speechless tribes;
And thou in this shalt find thy monument,
When tyrants' crests and tombs of brass are spent."
WALLACE STEVENS,Peter Quince at the Clavier,Modern,Love,"So gardens die, their meek breath scenting
The cowl of winter, done repenting.
So maidens die, to the auroral
Celebration of a maiden's choral.
Susanna's music touched the bawdy strings"
EDMUND SPENSER,Prosopopoia: or Mother Hubbard's Tale,Renaissance,Mythology & Folklore,"A visitation, and them cited thether:
Then was high time their wits about to geather.
What did they then, but made a composition
With their next neighbour priest, for light condition,
To whom their living they resigned quite"
WILLIAM BUTLER YEATS,On a Political Prisoner,Modern,Nature,"Blind and leader of the blind
Drinking the foul ditch where they lie?
When long ago I saw her ride
Under Ben Bulben to the meet,
The beauty of her country-side"
CARL SANDBURG,Wilderness,Modern,Nature," before Noah
 before the first chapter of Genesis.
There is a baboon in me
 clambering-clawed
 dog-faced"
D. H. LAWRENCE,Cruelty and Love ,Modern,Nature,"I only know I let him finger there
My pulse of life, letting him nose like a stoat
Who sniffs with joy before he drinks the blood:
And down his mouth comes to my mouth, and down
His dark bright eyes descend like a fiery hood"
EDMUND SPENSER,Epithalamion,Renaissance,Mythology & Folklore,"How slowly does sad Time his feathers move?
Hast thee O fayrest Planet to thy home
Within the Westerne fome:
Thy tyred steedes long since have need of rest.
Long though it be, at last I see it gloome,"
SIR WALTER RALEGH,Praisd be Dianas Fair and Harmless Light,Renaissance,Nature,"Eternity in her oft change she bears;
She beauty is; by her the fair endure.
Time wears her not: she doth his chariot guide;
Mortality below her orb is placd;
By her the virtue of the stars down slide;"
WILLIAM BUTLER YEATS,The Song of the Happy Shepherd,Modern,Nature,"Till they shall singing fade in ruth
And die a pearly brotherhood;
For words alone are certain good:
Sing, then, for this is also sooth.
I must be gone: there is a grave"
EDMUND SPENSER,Epithalamion,Renaissance,Mythology & Folklore,"And unrevealed pleasures,
Then would ye wonder and her prayses sing,
That al the woods should answer and your eccho ring.
Open the temple gates unto my love,
Open them wide that she may enter in,"
"HENRY HOWARD, EARL OF SURREY",Complaint of the Absence of Her Love Being Upon the Sea,Renaissance,Love,"My life while it will last;
With scalding sighs, for lack of gale,
Furthering his hope, that is his sail,
Toward me, the sweet port of his avail.
Alas! how oft in dreams I see"
ISABELLA WHITNEY,"A Communication Which the Author Had to London, Before She Made Her Will",Renaissance,Love,"Thou never yet wouldst credit give
   to board me for a year;
Nor with apparel me relieve,
   except thou payed were.
No, no, thou never didst me good,"
PAUL LAURENCE DUNBAR,The Old Front Gate,Modern,Love,"You kin reckon dat hit's time
Fu' to cas' yo' eye erroun',
'Cause daih ain't no sputin' dis,
Hit's de trues' sign to show
Dat daih's cou'tin goin' on"
SIR PHILIP SIDNEY,"Astrophil and Stella 33: I might!unhappy wordO me, I might",Renaissance,Love,"That I respects for both our sakes must show:
And yet could not by rising morn foresee
How fair a day was near: O punish'd eyes,
That I had been more foolish,or more wise!"
T. S. ELIOT,Preludes,Modern,Nature,"In the palms of both soiled hands.
IV
His soul stretched tight across the skies
That fade behind a city block,
Or trampled by insistent feet"
SIR THOMAS WYATT,My Lute Awake,Renaissance,Love,"Vengeance shall fall on thy disdain
That makest but game on earnest pain.
Think not alone under the sun
Unquit to cause thy lovers plain,
Although my lute and I have done."
EDMUND SPENSER,Epithalamion,Renaissance,Mythology & Folklore,"Their prety stelthes shal worke, and snares shal spread
To filch away sweet snatches of delight,
Conceald through covert night.
Ye sonnes of Venus, play your sports at will,
For greedy pleasure, carelesse of your toyes,"
EDMUND SPENSER,"from The Faerie Queene: Book I, Canto I",Renaissance,Mythology & Folklore,"His heavie head, devoide of carefull carke,
Whose sences all were straight benumbed and starke.
He backe returning by the Yvorie dore,
Remounted up as light as chearefull Larke,
And on his litle winges the dreame he bore"
EDMUND SPENSER,Prosopopoia: or Mother Hubbard's Tale,Renaissance,Mythology & Folklore,"But, ere long time had passed, they so ill
Did order their affairs, that th' evil will
Of all their parish'ners they had constrain'd;
Who to the Ordinary of them complain'd,
How foully they their offices abus'd,"
SIR PHILIP SIDNEY,"Astrophil and Stella 14: Alas, have I not pain enough, my friend",Renaissance,Love,"Ready of wit, and fearing naught but shame;
If that be sin which in fixed hearts doth breed
A loathing of all loose unchastity,
Then love is sin, and let me sinful be."
D. H. LAWRENCE,Tortoise Shout,Modern,Love,"After each jerk, the longish interval,
The tortoise eternity,
Agelong, reptilian persistence,
Heart-throb, slow heart-throb, persistent for the next spasm.
I remember, when I was a boy,"
EDMUND SPENSER,The Shepheardes Calender: January,Renaissance,Nature,"For pale and wanne he was, (alas the while,)
May seeme he lovd, or els some care he tooke:
Well couth he tune his pipe, and frame his stile.
Tho to a hill his faynting flocke he ledde,
And thus him playnd, the while his shepe there fedde."
T. S. ELIOT,The Love Song of J. Alfred Prufrock,Modern,Love,"Oh, do not ask, What is it?
Let us go and make our visit.
In the room the women come and go
Talking of Michelangelo.
The yellow fog that rubs its back upon the window-panes,"
JOHN DONNE,The Indifferent,Renaissance,Love,"She heard not this till now; and that it should be so no more.
She went, examined, and returned ere long,
And said, Alas! some two or three
Poor heretics in love there be,
Which think to stablish dangerous constancy."
ELINOR WYLIE,Wild Peaches,Modern,Love,"The sun, which burns from copper into brass,
Melts these at noon, and makes the boys unfold
Their knitted mufflers; full as they can hold
Fat pockets dribble chestnuts as they pass.
Peaches grow wild, and pigs can live in clover;"
PAUL LAURENCE DUNBAR,The Haunted Oak,Modern,Nature,"Oh, the judge, he wore a mask of black,
   And the doctor one of white,
And the minister, with his oldest son,
   Was curiously bedight.
Oh, foolish man, why weep you now?"
EDMUND SPENSER,"from The Faerie Queene: Book I, Canto I",Renaissance,Mythology & Folklore,"At that good knight so cunningly didst rove,
That glorious fire it kindled in his hart,
Lay now thy deadly Heben bow apart,
And with thy mother milde come to mine ayde:
Come both, and with you bring triumphant Mart,"
WILLIAM BUTLER YEATS,The Song of Wandering Aengus,Modern,Love,"But something rustled on the floor,
And someone called me by my name:
It had become a glimmering girl
With apple blossom in her hair
Who called me by my name and ran"
EDMUND SPENSER,"from The Faerie Queene: Book I, Canto I",Renaissance,Mythology & Folklore,"Who see your vanquisht foes before you lye:
Well worthy be you of that Armorie,
Wherein ye have great glory wonne this day,
And proov'd your strength on a strong enimie,
Your first adventure: many such I pray,"
THOMAS NASHE,"In Time of Plague [Adieu, farewell, earths bliss]",Renaissance,Love,"Hells executioner
Hath no ears for to hear
What vain art can reply.
I am sick, I must die.
   Lord, have mercy on us."
CHRISTOPHER MARLOWE,Hero and Leander,Renaissance,Love,"And one especially do we affect
Of two gold ingots, like in each respect:
The reason no man knows, let it suffice,
What we behold is censur'd by our eyes.
Where both deliberate, the love is slight:"
JOHN DONNE,The Ecstasy,Renaissance,Nature,"Love's mysteries in souls do grow,
         But yet the body is his book.
And if some lover, such as we,
         Have heard this dialogue of one,
Let him still mark us, he shall see"
EDMUND SPENSER,from The Shepheardes Calender: April,Renaissance,Nature,"Which once he made, as by a spring he laye,
And tuned it unto the Waters fall.
Ye dayntye Nymphs, that in this blessed Brooke
         doe bathe your brest,
Forsake your watry bowres, and hether looke,"
D. H. LAWRENCE,Bat,Modern,Nature,"A twitch, a twitter, an elastic shudder in flight
And serrated wings against the sky,
Like a glove, a black glove thrown up at the light,
And falling back.
Never swallows!"
EDMUND SPENSER,An Hymn In Honour Of Beauty,Renaissance,Love,"Thereof he fashions in his higher skill
An heavenly beauty to his fancy's will;
And it embracing in his mind entire,
The mirror of his own thought doth admire.
Which seeing now so inly fair to be,"
SIR PHILIP SIDNEY,Eleventh Song,Renaissance,Love,"""Well, begone; begone, I say,
Lest that Argus' eyes perceive you!""
Oh, unjust Fortune's sway,
Which can make me thus to leave you;
And from louts to run away."
ELINOR WYLIE,Wild Peaches,Modern,Nature,"The autumn amber-hued, sunny and hot,
Tasting of cider and of scuppernong;
All seasons sweet, but autumn best of all.
The squirrels in their silver fur will fall
Like falling leaves, like fruit, before your shot."
HART CRANE,from The Bridge: Southern Cross,Modern,Nature,"Whatever callfalls vainly on the wave.
O simian Venus, homeless Eve,
Unwedded, stumbling gardenless to grieve
Windswept guitars on lonely decks forever;
Finally to answer all within one grave!"
ELINOR WYLIE,Wild Peaches,Modern,Nature,"                                  3 
When April pours the colors of a shell
Upon the hills, when every little creek
Is shot with silver from the Chesapeake
In shoals new-minted by the ocean swell,"
SIR THOMAS WYATT,"My Galley, Charged with Forgetfulness",Renaissance,Nature,"Wreathed with error and eke with ignorance.
The stars be hid that led me to this pain;
Drowned is Reason that should me comfort,
And I remain despairing of the port."
JOHN DONNE,The Ecstasy,Renaissance,Love,"We see by this it was not sex,
         We see we saw not what did move;
But as all several souls contain
         Mixture of things, they know not what,
Love these mix'd souls doth mix again"
EDMUND SPENSER,Prothalamion,Renaissance,Nature,"That fillest England with thy triumph's fame,
Joy have thou of thy noble victory,
And endless happiness of thine own name
That promiseth the same:
That through thy prowess and victorious arms,"
SIR PHILIP SIDNEY,"Astrophil and Stella 72: Desire, though thou my old companion art",Renaissance,Love,"Care shining in mine eyes, faith in my sprite:
These things are let me by my only dear;
But thou, Desire, because thou wouldst have all,
Now banished art. But yet alas how shall?"
EDMUND SPENSER,Prosopopoia: or Mother Hubbard's Tale,Renaissance,Mythology & Folklore,"My wits thereto, as ye shall shortly hear.""
The priest him wish'd good speed, and well to fare:
So parted they, as either's way them led.
But th' ape and fox ere long so well them sped,
Through the priest's wholesome counsel lately taught,"
T. S. ELIOT,Rhapsody on a Windy Night,Modern,Nature,"La lune ne garde aucune rancune,
She winks a feeble eye,
She smiles into corners.
She smoothes the hair of the grass.
The moon has lost her memory."
EZRA POUND,Three Cantos,Modern,Mythology & Folklore,"By sirens and thence outward and away,
And unto Circe buried Elpenor's corpse.""
Lie quiet, Divus.
                                 In Officina Wechli, Paris,
M. D. three X's, Eight, with Aldus on the Frogs,"
CHRISTOPHER MARLOWE,Hero and Leander,Renaissance,Love,"His body was as straight as Circe's wand;
Jove might have sipt out nectar from his hand.
Even as delicious meat is to the taste,
So was his neck in touching, and surpast
The white of Pelops' shoulder: I could tell ye,"
D. H. LAWRENCE,Last Words to Miriam,Modern,Love,"The shrieking cross?
A mute, nearly beautiful thing
Is your face, that fills me with shame
As I see it hardening,
Warping the perfect image of God,"
EDMUND SPENSER,An Hymn In Honour Of Beauty,Renaissance,Love,"And with the brightness of her beauty clear,
The ravish'd hearts of gazeful men might rear
To admiration of that heavenly light,
From whence proceeds such soul-enchanting might.
Thereto do thou, great goddess, queen of beauty,"
SARA TEASDALE,Spring in War-Time,Modern,Love,"The grass is waking in the ground,
    Soon it will rise and blow in waves
How can it have the heart to sway
    Over the graves,
    New graves?"
EN JONSON,"Slow, Slow, Fresh Fount",Renaissance,Love,Since natures pride is now a withered daffodil.
WILLIAM BUTLER YEATS,The Sad Shepherd,Modern,Nature,"Rolling along in dreams from hill to hill.
He fled the persecution of her glory
And, in a far-off, gentle valley stopping,
Cried all his story to the dewdrops glistening.
But naught they heard, for they are always listening,"
WILLIAM SHAKESPEARE,"Sonnet 146: Poor soul, the centre of my sinful earth,",Renaissance,Love,"Buy terms divine in selling hours of dross;
Within be fed, without be rich no more.
So shalt thou feed on Death, that feeds on men,
And, Death once dead, there's no more dying then."
EDMUND SPENSER,Prosopopoia: or Mother Hubbard's Tale,Renaissance,Mythology & Folklore,"Scarce can a bishopric forpass them by,
But that it must be gelt in privity.
Do not thou therefore seek a living there,
But of more private persons seek elsewhere,
Whereas thou may'st compound a better penny,"
EDMUND SPENSER,Prosopopoia: or Mother Hubbard's Tale,Renaissance,Mythology & Folklore,"So may'st thou chance mock out a benefice,
Unless thou canst one conjure by device,
Or cast a figure for a bishopric;
And if one could, it were but a school trick.
These be the ways by which without reward"
CARL SANDBURG,At a Window,Modern,Nature,"Breaking the long loneliness.
In the dusk of day-shapes
Blurring the sunset,
One little wandering, western star
Thrust out from the changing shores of shadow."
GEORGE GASCOIGNE,The Lullaby of a Lover,Renaissance,Love,"With lullaby then wink awhile,
With lullaby your looks beguile;
Let no fair face nor beauty bright
Entice you eft with vain delight.
     And lullaby, my wanton will;"
D. H. LAWRENCE,Almond Blossom,Modern,Nature,"Look at the many-cicatrised frail vine, none more scarred and frail,
Yet see him fling himself abroad in fresh abandon
From the small wound-stump.
Even the wilful, obstinate, gummy fig-tree
Can be kept down, but he'll burst like a polyp into prolixity."
LOUIS UNTERMEYER,Feuerzauber,Modern,Love,"You turned to me,
And all the trembling worldand youwere white.
Aye, you are touched; your singing lips grow dumb;
The fields absorb you, color you entire
And you become"
SIR PHILIP SIDNEY,"""Leave me, O Love, which reachest but to dust""",Renaissance,Love,"And think how evil becometh him to slide,
Who seeketh heav'n, and comes of heav'nly breath.
Then farewell, world; thy uttermost I see:
Eternal Love, maintain thy life in me."
EZRA POUND,Three Cantos,Modern,Mythology & Folklore,"I've strained my ear for -ensa, -ombra, and -ensa
And cracked my wit on delicate canzoni
                   Here's but rough meaning:
""And then went down to the ship, set keel to breakers,
Forth on the godly sea;"
WILLIAM SHAKESPEARE,Sonnet 133: Beshrew that heart that makes my heart to groan,Renaissance,Love,"Whoeer keeps me, let my heart be his guard:
Thou canst not then use rigour in my jail.
    And yet thou wilt; for I, being pent in thee,
    Perforce am thine, and all that is in me."
JOHN SKELTON,Mannerly Margery Milk and Ale,Renaissance,Love,"I am no hackney for your rod:
Go watch a bull, your back is broad!
Gup, Christian Clout, gup, Jack of the Vale!
With Mannerly Margery Milk and Ale.
Ywis ye deal uncourteously;"
EDMUND SPENSER,from The Shepheardes Calender: October,Renaissance,Nature,"And, whence thou camst, flye backe to heaven apace.
CUDDIE
Ah Percy it is all to weake and wanne,
So high to sore, and make so large a flight:
Her peeced pyneons bene not so in plight,"
EDMUND SPENSER,from The Shepheardes Calender: April,Renaissance,Mythology & Folklore,"O quam te memorem virgo?
HOBBINOLLS EMBLEME
O dea certe."
EDMUND SPENSER,Epithalamion,Renaissance,Mythology & Folklore,"And the sweet pleasures of theyr loves delight
With secret ayde doest succour and supply,
Till they bring forth the fruitfull progeny,
Send us the timely fruit of this same night.
And thou fayre Hebe, and thou Hymen free,"
D. H. LAWRENCE,Last Words to Miriam,Modern,Love,"Full anguish, perhaps had been cast
In a lovely illuinined mesh
Like a painted window; the best
Fire passed through your flesh,
Undrossed it, and left it blest"
JOHN DONNE,The Ecstasy,Renaissance,Love,"And pictures in our eyes to get
         Was all our propagation.
As twixt two equal armies fate
         Suspends uncertain victory,
Our souls (which to advance their state"
CHRISTOPHER MARLOWE,Hero and Leander,Renaissance,Mythology & Folklore,"And one especially do we affect
Of two gold ingots, like in each respect:
The reason no man knows, let it suffice,
What we behold is censur'd by our eyes.
Where both deliberate, the love is slight:"
IVOR GURNEY,To the Poet Before Battle,Modern,Mythology & Folklore,"For all our skill in words, equal in might
And strong of mettle as those we honoured; make
The name of poet terrible in just war,
And like a crown of honour upon the fight."
T. S. ELIOT,Portrait of a Lady,Modern,Love,"Doubtful, for quite a while
Not knowing what to feel or if I understand
Or whether wise or foolish, tardy or too soon...
Would she not have the advantage, after all?
This music is successful with a ""dying fall"""
EDMUND SPENSER,from The Shepheardes Calender: October,Renaissance,Mythology & Folklore,"Ne wont with crabbed care the Muses dwell.
Unwisely weaves, that takes two webbes in hand.
Who ever casts to compasse weightye prise,
And thinks to throwe out thondring words of threate:
Let powre in lavish cups and thriftie bitts of meate,"
JOHN DONNE,The Ecstasy,Renaissance,Love,"If any, so by love refin'd
         That he soul's language understood,
And by good love were grown all mind,
         Within convenient distance stood,
He (though he knew not which soul spake,"
CARL SANDBURG,Wilderness,Modern,Nature,"There is a hog in me
 a snout and a belly
 a machinery for eating and grunting
 a machinery for sleeping satisfied in the sunI got this too from the wilderness and the wilderness will not let it go.
There is a fish in me"
JOHN DONNE,Of the Progress of the Soul: The Second Anniversary,Renaissance,Nature,"Think that they close thine eyes, and think in this,
That they confess much in the world amiss,
Who dare not trust a dead man's eye with that
Which they from God and angels cover not.
Think that they shroud thee up, and think from thence"
EDMUND SPENSER,Prothalamion,Renaissance,Nature,"Which said their bridal day should not be long.
And gentle echo from the neighbour ground
Their accents did resound.
So forth those joyous birds did pass along,
Adown the Lee, that to them murmured low,"
RICHARD ALDINGTON,,Modern,Nature,"And, smiling as a chaste woman Knowing love in her heart,
Thou sealest our eyes
And the illimitable quietude
Comes gently upon us."
SIR PHILIP SIDNEY,"Astrophil and Stella 102: Where be the roses gone, which sweetened so our eyes?",Renaissance,Love,"But feeling proof makes me say they mistake it far:
    It is but love, which makes his paper perfect white
    To write therein more fresh the story of delight,
Whiles beauty's reddest ink Venus for him doth stir."
EDMUND SPENSER,Epithalamion,Renaissance,Mythology & Folklore,"The lawes of wedlock still dost patronize,
And the religion of the faith first plight
With sacred rites hast taught to solemnize:
And eeke for comfort often called art
Of women in their smart,"
EDMUND SPENSER,from The Shepheardes Calender: April,Renaissance,Mythology & Folklore,"For more finesse, with a tawdrie lace.
Bring hether the Pincke and purple Cullambine,
         With Gelliflowres:
Bring Coronations, and Sops in wine,
         worne of Paramoures."
WILLIAM SHAKESPEARE,Song: Orpheus with his lute made trees,Renaissance,Mythology & Folklore,"Killing care and grief of heart 
Fall asleep, or hearing, die."
GEORGE GASCOIGNE,For That He Looked Not upon Her,Renaissance,Love,"Whereby I learn that grievous is the game
Which follows fancy dazzled by desire:
So that I wink or else hold down my head,
Because your blazing eyes my bale have bred."
PAUL LAURENCE DUNBAR,Night of Love,Modern,Nature,"The lark will soon be heard, love,
And on his way be winging;
When Natures poets, wake, love,
Why should a man be singing?"
JOHN DONNE,The Calm,Renaissance,Nature,"What are we then? How little more, alas,
Is man now, than before he was? He was
Nothing; for us, we are for nothing fit;
Chance, or ourselves, still disproportion it.
We have no power, no will, no sense; I lie,"
SIR PHILIP SIDNEY,"Astrophil and Stella 90: Stella, think not that I by verse seek fame",Renaissance,Love,"Without my plumes from others wings I take.
For nothing from my wit or will doth flow,
Since all my words thy beauty doth endite,
And love doth hold my hand, and makes me write."
LOUISE BOGAN,Portrait,Modern,Nature,"She is possessed by time, who once
      Was loved by men."
E. E. CUMMINGS,[in Just-],Modern,Nature,"the queer
old balloonman whistles
far          and             wee
and bettyandisbel come dancing
from hop-scotch and jump-rope and"
T. S. ELIOT,The Love Song of J. Alfred Prufrock,Modern,Love,"               And how should I presume?
And I have known the arms already, known them all
Arms that are braceleted and white and bare
(But in the lamplight, downed with light brown hair!)
Is it perfume from a dress"
E. E. CUMMINGS,[little tree],Modern,Nature,"then when you're quite dressed
you'll stand in the window for everyone to see
and how they'll stare!
oh but you'll be very proud
and my little sister and i will take hands"
EDMUND SPENSER,"from The Faerie Queene: Book I, Canto I",Renaissance,Mythology & Folklore,"And lifting up his lumpish head, with blame
Halfe angry asked him, for what he came.
Hither (quoth he) me Archimago sent,
He that the stubborne Sprites can wisely tame,
He bids thee to him send for his intent"
CHRISTOPHER MARLOWE,Hero and Leander,Renaissance,Mythology & Folklore,"Buskins of shells, all silver'd, used she,
And branch'd with blushing coral to the knee;
Where sparrows perch'd, of hollow pearl and gold,
Such as the world would wonder to behold:
Those with sweet water oft her handmaid fills,"
CHRISTOPHER MARLOWE,Hero and Leander,Renaissance,Love,"Buskins of shells, all silver'd, used she,
And branch'd with blushing coral to the knee;
Where sparrows perch'd, of hollow pearl and gold,
Such as the world would wonder to behold:
Those with sweet water oft her handmaid fills,"
SIR PHILIP SIDNEY,"Astrophil and Stella 107: Stella, since thou so right a princess art ",Renaissance,Love,"Till it have wrought what thy own will attends.
On servants shame oft masters blame doth sit.
Oh let not fools in me thy works reprove,
And scorning say, See what it is to love."
T. S. ELIOT,Rhapsody on a Windy Night,Modern,Nature,"Midnight shakes the memory
As a madman shakes a dead geranium.
Half-past one,
The street lamp sputtered,
The street lamp muttered,"
LOUIS UNTERMEYER,Magic,Modern,Nature,"And we, with thoughts on tiptoe, slunk
Down the green, twisting alleys of the Kennebunk,
Motionless in the meadows
The trees, the rocks, the cows...
And quiet dripped from the shadows"
FORD MADOX FORD,In October 1914 [Antwerp],Modern,Mythology & Folklore,"Won in many wars
Punic, 
Lacedmonian, wars of Napoleon, wars for faith, wars for honour, for love, for possession, 
But this Belgian man in his ugly tunic, 
His ugly round cap, shooting on, in a sort of obsession, "
HART CRANE,from The Bridge: Quaker Hill,Modern,Nature,"We, who with pledges taste the bright annoy   
Of friendships acid wine, retarding phlegm,
Shifting reprisals (til who shall tell us when
The jest is too sharp to be kindly?) boast
Much of our store of faith in other men"
T. S. ELIOT,The Love Song of J. Alfred Prufrock,Modern,Love,"To have bitten off the matter with a smile,
To have squeezed the universe into a ball
To roll it towards some overwhelming question,
To say: I am Lazarus, come from the dead,
Come back to tell you all, I shall tell you all"
QUEEN ELIZABETH I,The Doubt of Future Foes,Renaissance,Nature,"The daughter of debate that discord aye doth sow
Shall reap no gain where former rule still peace hath taught to know.
No foreign banished wight shall anchor in this port;
Our realm brooks not seditious sects, let them elsewhere resort.
My rusty sword through rest shall first his edge employ"
CHRISTOPHER MARLOWE,Hero and Leander,Renaissance,Love,"Much less of powerful gods: let it suffice
That my slack Muse sings of Leander's eyes;
Those orient cheeks and lips, exceeding his
That leapt into the water for a kiss
Of his own shadow, and, despising many,"
WILLIAM SHAKESPEARE,The Phoenix and the Turtle,Renaissance,Mythology & Folklore,"Here the anthem doth commence:
Love and constancy is dead;
Phoenix and the Turtle fled
In a mutual flame from hence.
So they lov'd, as love in twain"
D. H. LAWRENCE,The Wild Common,Modern,Nature,"What if the gorse-flowers shrivelled, and I were gone?
What if the waters ceased, where were the marigolds then, and the gudgeon?
What is this thing that I look down upon?
White on the water wimples my shadow, strains like a dog on a string, to run on.
How it looks back, like a white dog to its master!"
PAUL LAURENCE DUNBAR,Signs of the Times,Modern,Nature,"Tu'key gobbler gwine roun' blowin',
   Gwine roun' gibbin' sass an' slack;
Keep on talkin', Mistah Tu'key,
   You ain't seed no almanac.
Fa'mer walkin' th'oo de ba'nya'd"
